Rank,Company Name,Location,Industry,Employees,About,logo
1,DHL Express,Bonn Bonn North Rhine–Westphalia Germany,Transportation,"120,000",https://www.greatplacetowork.com/worlds-best-profile/dhl-express,https://upload.wikimedia.org/wikipedia/commons/a/ac/DHL_Logo.svg
2,Hilton,McLean Virginia United States,Hospitality,"150,050",https://www.greatplacetowork.com/worlds-best-profile/hilton,https://upload.wikimedia.org/wikipedia/commons/8/8a/Hilton_Worldwide_logo.svg
3,Cisco,San Jose California United States,Information Technology,"116,418",https://www.greatplacetowork.com/worlds-best-profile/cisco,https://upload.wikimedia.org/wikipedia/commons/0/08/Cisco_logo_blue_2016.svg
4,Salesforce,San Francisco California United States,Information Technology,"86,000",https://www.greatplacetowork.com/worlds-best-profile/salesforce,https://upload.wikimedia.org/wikipedia/commons/f/f9/Salesforce.com_logo.svg
5,Millicom,Luxemborg Luxemborg,Telecommunications,"21,000",https://www.greatplacetowork.com/worlds-best-profile/millicom,https://www.millicom.com/images/logo.png
6,AbbVie,North Chicago Illinois United States,Biotechnology & Pharmaceuticals,"50,000",https://www.greatplacetowork.com/worlds-best-profile/abbvie,https://upload.wikimedia.org/wikipedia/commons/c/cc/AbbVie_logo.svg
7,Deloitte,London England United Kingdom,Professional Services,"415,000",https://www.greatplacetowork.com/worlds-best-profile/deloitte,https://upload.wikimedia.org/wikipedia/commons/5/56/Deloitte.svg
8,Hilti,Schaan Liechtenstein,Manufacturing & Production,"32,092",https://www.greatplacetowork.com/worlds-best-profile/hilti,https://upload.wikimedia.org/wikipedia/commons/8/84/Hilti_2.svg
9,SC Johnson,Racine Wisconsin United States,Manufacturing & Production,"12,000",https://www.greatplacetowork.com/worlds-best-profile/sc-johnson,https://upload.wikimedia.org/wikipedia/commons/1/10/SC_Johnson_2018.svg
10,Stryker,Kalamazoo Michigan United States,Manufacturing & Production,"48,025",https://www.greatplacetowork.com/worlds-best-profile/stryker,https://upload.wikimedia.org/wikipedia/commons/7/79/Stryker_logo.svg
11,Teleperformance,Paris Ile de France France,Professional Services,"403,000",https://www.greatplacetowork.com/worlds-best-profile/teleperformance,https://upload.wikimedia.org/wikipedia/commons/c/c1/Teleperformance_logo.svg
12,Medtronic,Dublin Leinster Ireland,Biotechnology & Pharmaceuticals,"90,000",https://www.greatplacetowork.com/worlds-best-profile/medtronic,https://upload.wikimedia.org/wikipedia/commons/2/2c/Medtronic_logo.svg
13,EY,London England United Kingdom,Professional Services,"365,399",https://www.greatplacetowork.com/worlds-best-profile/ey,https://upload.wikimedia.org/wikipedia/commons/3/34/EY_logo_2019.svg
14,VRIO: DIRECTV & SKY,Buenos Aires Buenos Aires Argentina,Telecommunications,"7,300",https://www.greatplacetowork.com/worlds-best-profile/vrio-corp,https://upload.wikimedia.org/wikipedia/commons/8/83/Vrio._-_2018_logo.svg
15,SAP SE,Walldorf Baden-Württemberg Germany,Information Technology,"112,106",https://www.greatplacetowork.com/worlds-best-profile/sap-se,https://upload.wikimedia.org/wikipedia/commons/5/59/SAP_2011_logo.svg
16,Scotiabank,Toronto Ontario Canada,Financial Services & Insurance,"89,500",https://www.greatplacetowork.com/worlds-best-profile/scotiabank,https://upload.wikimedia.org/wikipedia/commons/2/22/Scotiabank_logo.svg
17,Accenture,New York New York United States,Professional Services,"710,000",https://www.greatplacetowork.com/worlds-best-profile/accenture,https://upload.wikimedia.org/wikipedia/commons/c/cd/Accenture.svg
18,Nestle,Vevey Vaud Switzerland,Manufacturing & Production,"270,000",https://www.greatplacetowork.com/worlds-best-profile/nestle,https://upload.wikimedia.org/wikipedia/en/d/d8/Nestl%C3%A9.svg
19,Cadence,San Jose California United Staetes,Electronics,"9,797",https://www.greatplacetowork.com/worlds-best-profile/cadence,https://upload.wikimedia.org/wikipedia/commons/4/48/Cadence-Logo.svg
20,Mercado Libre,Buenos Aires Buenos Aires Argentina,Information Technology,"30,000",https://www.greatplacetowork.com/worlds-best-profile/mercado-libre,https://upload.wikimedia.org/wikipedia/en/2/20/MercadoLibre.svg
21,FedEx,Memphis Tennessee United States,Transportation,"50,000",https://www.greatplacetowork.com/worlds-best-profile/fedex,https://upload.wikimedia.org/wikipedia/commons/b/b9/FedEx_Corporation_-_2016_Logo.svg
22,Concentrix,Fremont California United States,Professional Services,"290,000",https://www.greatplacetowork.com/worlds-best-profile/concentrix,https://upload.wikimedia.org/wikipedia/en/f/fc/Concentrix_logo.svg
23,Sopra Steria,Annecy France France,Information Technology,"47,000",https://www.greatplacetowork.com/worlds-best-profile/sopra-steria,https://upload.wikimedia.org/wikipedia/en/6/62/Sopra_Steria_logo_2.svg
24,Adobe,San Jose California United States,Information Technology,"28,167",https://www.greatplacetowork.com/worlds-best-profile/adobe,https://upload.wikimedia.org/wikipedia/commons/6/6e/Adobe_Corporate_logo.svg
25,Bristol-Myers Squibb,New York New York United States,Biotechnology & Pharmaceuticals,"32,200",https://www.greatplacetowork.com/worlds-best-profile/bms,https://upload.wikimedia.org/wikipedia/commons/c/c6/Bristol-Myers_Squibb_logo_%282020%29.svg
