teamId,abbreviation,teamName,simpleName,location
1,ATL,Atlanta Hawks,Hawks,Atlanta
2,BOS,Boston Celtics,Celtics,Boston
3,BKN,Brooklyn Nets,Nets,Brooklyn
4,CHA,Charlotte Hornets,Hornets,Charlotte
5,CHI,Chicago Bulls,Bulls,Chicago
6,CLE,Cleveland Cavaliers,Cavaliers,Cleveland
7,DAL,Dallas Mavericks,Mavericks,Dallas
8,DEN,Denver Nuggets,Nuggets,Denver
9,DET,Detroit Pistons,Pistons,Detroit
10,GSW,Golden State Warriors,Warriors,Golden State
11,HOU,Houston Rockets,Rockets,Houston
12,IND,Indiana Pacers,Pacers,Indiana
13,LAC,Los Angeles Clippers,Clippers,Los Angeles
14,LAL,Los Angeles Lakers,Lakers,Los Angeles
15,MEM,Memphis Grizzlies,Grizzlies,Memphis
16,MIA,Miami Heat,Heat,Miami
17,MIL,Milwaukee Bucks,Bucks,Milwaukee
18,MIN,Minnesota Timberwolves,Timberwolves,Minnesota
19,NOP,New Orleans Pelicans,Pelicans,New Orleans
20,NYK,New York Knicks,Knicks,New York
21,OKC,Oklahoma City Thunder,Thunder,Oklahoma City
22,ORL,Orlando Magic,Magic,Orlando
23,PHI,Philadelphia 76ers,76ers,Philadelphia
24,PHX,Phoenix Suns,Suns,Phoenix
25,POR,Portland Trail Blazers,Trail Blazers,Portland
26,SAC,Sacramento Kings,Kings,Sacramento
27,SAS,San Antonio Spurs,Spurs,San Antonio
28,TOR,Toronto Raptors,Raptors,Toronto
29,UTA,Utah Jazz,Jazz,Utah
30,WAS,Washington Wizards,Wizards,Washington
